ID,Date,Product_ID,Quantity,Unit_Price,Total,Staff_ID,Staff_Name,Sale_Time,Customer_ID
1,2024-04-01,10,1,399.0,399.0,1,Fabrizio,13:15,C1556
2,2024-04-01,17,1,30.0,30.0,4,Katia,13:30,C0589
3,2024-04-01,4,1,0.54,0.54,2,Angela,20:45,C1244
4,2024-04-01,16,1,30.0,30.0,2,Angela,12:15,C1698
5,2024-04-01,5,2,0.72,1.44,3,Laura,19:00,C1521
6,2024-04-01,12,1,199.0,199.0,2,Angela,15:45,C2391
7,2024-04-01,1,2,0.6,1.2,2,Angela,12:30,C0906
8,2024-04-01,4,2,0.54,1.08,2,Angela,11:30,C1651
9,2024-04-01,4,2,0.54,1.08,4,Katia,15:15,C1118
10,2024-04-01,10,1,399.0,399.0,2,Angela,09:45,C1525
11,2024-04-01,2,3,0.49,1.47,3,Laura,09:00,C0172
12,2024-04-01,3,1,0.7,0.7,1,Fabrizio,13:00,C0626
13,2024-04-01,5,1,0.72,0.72,3,Laura,15:00,C2046
14,2024-04-01,8,3,0.61,1.83,3,Laura,19:30,C0682
15,2024-04-01,16,1,30.0,30.0,3,Laura,12:30,C1345
16,2024-04-01,2,3,0.49,1.47,1,Fabrizio,10:45,C1984
17,2024-04-01,20,1,31.0,31.0,4,Katia,12:30,C0311
18,2024-04-01,5,1,0.72,0.72,4,Katia,19:00,C2962
19,2024-04-01,18,1,28.0,28.0,2,Angela,16:45,C1936
20,2024-04-01,8,2,0.61,1.22,4,Katia,12:45,C2478
21,2024-04-01,19,1,27.0,27.0,1,Fabrizio,10:45,C2906
22,2024-04-01,6,3,0.74,2.22,4,Katia,17:45,C1986
23,2024-04-01,19,1,27.0,27.0,4,Katia,17:00,C1524
24,2024-04-01,2,3,0.49,1.47,3,Laura,13:00,C0285
25,2024-04-01,6,1,0.74,0.74,1,Fabrizio,14:15,C1284
26,2024-04-01,21,1,32.0,32.0,3,Laura,20:15,C2543
27,2024-04-01,20,1,31.0,31.0,2,Angela,13:15,C0355
28,2024-04-01,8,1,0.61,0.61,3,Laura,15:30,C2262
29,2024-04-01,16,1,30.0,30.0,1,Fabrizio,15:45,C2865
30,2024-04-01,14,1,85.0,85.0,1,Fabrizio,15:45,C0200
31,2024-04-01,4,1,0.54,0.54,1,Fabrizio,14:00,C2901
32,2024-04-01,16,1,30.0,30.0,1,Fabrizio,10:45,C2184
33,2024-04-01,21,1,32.0,32.0,1,Fabrizio,19:15,C1914
34,2024-04-01,7,1,0.47,0.47,1,Fabrizio,18:15,C0948
35,2024-04-01,2,3,0.49,1.47,2,Angela,12:30,C2676
36,2024-04-01,6,2,0.74,1.48,3,Laura,14:00,C0917
37,2024-04-01,9,1,99.0,99.0,4,Katia,15:00,C1365
38,2024-04-01,3,1,0.7,0.7,3,Laura,14:30,C1853
39,2024-04-01,4,1,0.54,0.54,1,Fabrizio,16:00,C0342
40,2024-04-01,11,1,699.0,699.0,2,Angela,16:15,C0388
41,2024-04-01,5,3,0.72,2.16,2,Angela,15:00,C0004
42,2024-04-01,20,1,31.0,31.0,4,Katia,15:15,C0677
43,2024-04-01,4,1,0.54,0.54,4,Katia,16:00,C1663
44,2024-04-02,3,3,0.7,2.1,3,Laura,09:15,C2447
45,2024-04-02,21,1,32.0,32.0,1,Fabrizio,14:15,C2459
46,2024-04-02,11,1,699.0,699.0,2,Angela,16:15,C0213
47,2024-04-02,14,1,85.0,85.0,2,Angela,09:00,C0560
48,2024-04-02,11,1,699.0,699.0,3,Laura,20:00,C0558
49,2024-04-02,18,1,28.0,28.0,3,Laura,11:15,C2606
50,2024-04-02,1,2,0.6,1.2,4,Katia,18:00,C2550
51,2024-04-02,20,1,31.0,31.0,1,Fabrizio,10:00,C2692
52,2024-04-02,16,1,30.0,30.0,4,Katia,12:15,C1995
53,2024-04-02,13,1,169.0,169.0,2,Angela,16:15,C2579
54,2024-04-02,4,3,0.54,1.62,2,Angela,12:45,C0953
55,2024-04-02,15,1,29.0,29.0,1,Fabrizio,15:00,C2835
56,2024-04-02,14,1,85.0,85.0,4,Katia,14:00,C0475
57,2024-04-02,11,1,699.0,699.0,1,Fabrizio,16:30,C1768
58,2024-04-02,13,1,169.0,169.0,3,Laura,13:15,C0042
59,2024-04-02,3,3,0.7,2.1,4,Katia,09:30,C2652
60,2024-04-02,17,1,30.0,30.0,2,Angela,11:45,C2096
61,2024-04-02,11,1,699.0,699.0,4,Katia,10:15,C1987
62,2024-04-02,18,1,28.0,28.0,3,Laura,12:45,C0728
